,Celastrales,Ericales,Fabales,Fagales,Gentianales,Lamiales,Laurales,Magnoliales,Malpighiales,Malvales,Myrtales,Ranunculales,Rosales,Sapindales
Celastrales,0,2.08278537,1.39794001,1.39794001,2.08278537,2.08278537,2.29225607,2.29225607,0.60205999,1.80617997,1.80617997,2.15836249,1.39794001,1.80617997
Ericales,2.08278537,0,2.08278537,2.08278537,0.95424251,0.95424251,2.29225607,2.29225607,2.08278537,2.08278537,2.08278537,2.15836249,2.08278537,2.08278537
Fabales,1.39794001,2.08278537,0,0.95424251,2.08278537,2.08278537,2.29225607,2.29225607,1.39794001,1.80617997,1.80617997,2.15836249,0.95424251,1.80617997
Fagales,1.39794001,2.08278537,0.95424251,0,2.08278537,2.08278537,2.29225607,2.29225607,1.39794001,1.80617997,1.80617997,2.15836249,0.60205999,1.80617997
Gentianales,2.08278537,0.95424251,2.08278537,2.08278537,0,0.60205999,2.29225607,2.29225607,2.08278537,2.08278537,2.08278537,2.15836249,2.08278537,2.08278537
Lamiales,2.08278537,0.95424251,2.08278537,2.08278537,0.60205999,0,2.29225607,2.29225607,2.08278537,2.08278537,2.08278537,2.15836249,2.08278537,2.08278537
Laurales,2.29225607,2.29225607,2.29225607,2.29225607,2.29225607,2.29225607,0,0.60205999,2.29225607,2.29225607,2.29225607,2.29225607,2.29225607,2.29225607
Magnoliales,2.29225607,2.29225607,2.29225607,2.29225607,2.29225607,2.29225607,0.60205999,0,2.29225607,2.29225607,2.29225607,2.29225607,2.29225607,2.29225607
Malpighiales,0.60205999,2.08278537,1.39794001,1.39794001,2.08278537,2.08278537,2.29225607,2.29225607,0,1.80617997,1.80617997,2.15836249,1.39794001,1.80617997
Malvales,1.80617997,2.08278537,1.80617997,1.80617997,2.08278537,2.08278537,2.29225607,2.29225607,1.80617997,0,0.95424251,2.15836249,1.80617997,0.60205999
Myrtales,1.80617997,2.08278537,1.80617997,1.80617997,2.08278537,2.08278537,2.29225607,2.29225607,1.80617997,0.95424251,0,2.15836249,1.80617997,0.95424251
Ranunculales,2.15836249,2.15836249,2.15836249,2.15836249,2.15836249,2.15836249,2.29225607,2.29225607,2.15836249,2.15836249,2.15836249,0,2.15836249,2.15836249
Rosales,1.39794001,2.08278537,0.95424251,0.60205999,2.08278537,2.08278537,2.29225607,2.29225607,1.39794001,1.80617997,1.80617997,2.15836249,0,1.80617997
Sapindales,1.80617997,2.08278537,1.80617997,1.80617997,2.08278537,2.08278537,2.29225607,2.29225607,1.80617997,0.60205999,0.95424251,2.15836249,1.80617997,0
